日期,城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
2015-4-11,臺南市,南化區,北寮,27.1℃,52,0
2015-4-12,臺東縣,海端鄉,紅石,13.4℃,99,0
2015-4-13,臺南市,仁德區,仁德,24.8℃,67,0
2015-4-14,桃園市,八德區,八德,15.7℃,75,14
2015-4-15,臺中市,北屯區,大坑,22.8℃,-9900,0
2015-4-16,屏東縣,春日鄉,大漢山,13.6℃,100,0
2015-4-17,嘉義縣,水上鄉,水上,23.3℃,65,0
2015-4-18,高雄市,鼓山區,鼓山,23.4℃,78,0
2015-4-19,臺南市,北門區,蘆竹溝,19.5℃,86,0
2015-4-20,花蓮縣,瑞穗鄉,瑞穗,17.4℃,96,1.5
2015-4-21,宜蘭縣,南澳鄉,南澳,17.5℃,68,0
2015-4-22,花蓮縣,光復鄉,富源,16.5℃,100,1
2015-4-23,基隆市,暖暖區,暖暖,14.3℃,92,42
2015-4-24,彰化縣,鹿港鎮,鹿港,19.3℃,81,0
2015-4-25,臺南市,左鎮區,左鎮,24.7℃,67,0
2015-4-26,宜蘭縣,員山鄉,內城,16.3℃,83,0
2015-4-27,花蓮縣,秀林鄉,和平,19℃,71,0
2015-4-28,臺中市,潭子區,潭子,22.4℃,64,0
2015-4-29,屏東縣,車城鄉,保力,23.3℃,72,0
2015-4-30,新北市,淡水區,六塊厝,13.4℃,94,19.5
2015-5-1,彰化縣,福興鄉,福興,19.9℃,68,0
2015-5-2,新北市,汐止區,五指山,10.1℃,100,18.5
2015-5-3,屏東縣,潮州鎮,潮州,26.2℃,72,-99
2015-5-4,花蓮縣,秀林鄉,和平林道,15.2℃,96,0.5
2015-5-5,新竹縣,竹東鎮,竹東,15.8℃,79,1.5
2015-5-6,南投縣,集集鎮,集集,25℃,59,0
2015-5-7,新北市,淡水區,淡水觀海,13.3℃,95,3.5
2015-5-8,花蓮縣,富里鄉,明里,18.8℃,85,0
2015-5-9,花蓮縣,秀林鄉,富世,19.5℃,73,0
2015-5-10,桃園市,大溪區,大溪永福,14.8℃,99,7.5
2015-5-11,新竹縣,尖石鄉,梅花,12.8℃,90,1
2015-5-12,桃園市,龜山區,龜山,13.5℃,81,6
2015-5-13,臺南市,西港區,西港,-99℃,-9900,0
2015-5-14,高雄市,苓雅區,苓雅,25.4℃,74,0
2015-5-15,基隆市,安樂區,大武崙,14.5℃,91,12
2015-5-16,臺東縣,關山鎮,關山,19.6℃,82,0
2015-5-17,花蓮縣,秀林鄉,天祥,17.4℃,93,0
2015-5-18,臺中市,神岡區,神岡,19.1℃,72,-99
2015-5-19,桃園市,平鎮區,平鎮,13.9℃,84,8.5
2015-5-20,宜蘭縣,礁溪鄉,淡江大學蘭陽校園,14.5℃,100,0
2015-5-21,屏東縣,泰武鄉,舊泰武,20.3℃,91,0
2015-5-22,花蓮縣,卓溪鄉,清水林道,16.5℃,92,0
2015-5-23,高雄市,桃源區,復興,27.5℃,40,0
2015-5-24,桃園市,觀音區,觀音工業區,13.6℃,96,1
2015-5-25,雲林縣,古坑鄉,草嶺,20.4℃,76,0
2015-5-26,嘉義縣,義竹鄉,東後寮,22.5℃,66,0
2015-5-27,新北市,坪林區,坪林,12.9℃,96,0.5
2015-5-28,苗栗縣,獅潭鄉,獅潭,15℃,76,2
2015-5-29,雲林縣,大埤鄉,大埤,22℃,66,0
2015-5-30,花蓮縣,玉里鎮,赤柯山,13.4℃,99,0.5
2015-5-31,臺中市,和平區,南湖圈谷A,5.1℃,43,0
2015-6-1,彰化縣,竹塘鄉,竹塘,20.9℃,67,0
2015-6-2,高雄市,仁武區,仁武,26.3℃,72,0
2015-6-3,屏東縣,滿州鄉,南仁湖,19.4℃,94,0
2015-6-4,臺中市,南屯區,南屯,23.2℃,56,0
2015-6-5,新北市,新店區,屈尺,15.2℃,87,-99
2015-6-6,高雄市,阿蓮區,阿蓮,26.9℃,65,-99
2015-6-7,屏東縣,牡丹鄉,九棚,21.7℃,83,0
2015-6-8,屏東縣,新埤鄉,新埤,-99℃,-9900,-99
2015-6-9,臺中市,大安區,溫寮,16.5℃,82,0
2015-6-10,臺中市,后里區,后里,18.7℃,69,0
2015-6-11,新北市,瑞芳區,鼻頭角,-99℃,-9900,0.5
2015-6-12,臺中市,烏日區,烏日,-99℃,-9900,-99
2015-6-13,嘉義縣,阿里山鄉,達邦,23.9℃,47,0
2015-6-14,新北市,石門區,石門,12.3℃,97,8.5
2015-6-15,新北市,中和區,中和,15.7℃,79,-99
2015-6-16,高雄市,彌陀區,文安,22.7℃,79,0
2015-6-17,彰化縣,芳苑鄉,芳苑,19.5℃,100,0
2015-6-18,臺南市,六甲區,王爺宮,25.4℃,68,0
2015-6-19,新北市,雙溪區,雙溪,16.8℃,77,-99
2015-6-20,新北市,瑞芳區,瑞芳,12.6℃,99,28
2015-6-21,花蓮縣,豐濱鄉,加路蘭山,13.7℃,100,5.5
2015-6-22,屏東縣,琉球鄉,琉球嶼,25.4℃,76,-99
2015-6-23,臺南市,新市區,新市,26.7℃,65,0
2015-6-24,屏東縣,滿洲鄉,鼻頭,22.3℃,81,0
2015-6-25,苗栗縣,通霄鎮,通霄漁港,16.7℃,79,0
2015-6-26,臺中市,大甲區,松柏,16.3℃,82,0
2015-6-27,花蓮縣,豐濱鄉,豐濱,17.6℃,91,6.5
2015-6-28,高雄市,橋頭區,橋頭,26.6℃,79,0
2015-6-29,屏東縣,車城鄉,竹坑,25.3℃,61,0
2015-6-30,臺南市,安南區,四草,21.2℃,80,0
2015-7-1,屏東縣,麟洛鄉,麟洛,27.3℃,65,0
2015-7-2,臺南市,善化區,善化,25.3℃,69,-99
2015-7-3,基隆市,中正區,八斗子,14.4℃,92,6.5
2015-7-4,新北市,三芝區,三芝,12.9℃,98,42
2015-7-5,高雄市,三民區,三民,25.2℃,72,0
2015-7-6,新北市,汐止區,汐止,-99℃,-9900,-99
2015-7-7,臺南市,佳里區,佳里,24.9℃,65,0
2015-7-8,彰化縣,花壇鄉,花壇,22.6℃,66,0
2015-7-9,南投縣,仁愛鄉,梅峰,14.9℃,63,0
2015-7-10,屏東縣,滿洲鄉,興海,22.8℃,76,0
2015-7-11,屏東縣,恆春鎮,龍磐,22.5℃,84,0
2015-7-12,雲林縣,口湖鄉,箔子寮,19.1℃,79,0
2015-7-13,新北市,萬里區,大坪,11℃,100,87
2015-7-14,臺中市,龍井區,臺中電廠,17.4℃,77,0
2015-7-15,高雄市,前鎮區,前鎮,23.5℃,76,0
2015-7-16,宜蘭縣,羅東鎮,羅東,18.2℃,74,0
2015-7-17,臺東縣,大武鄉,加津林,23.1℃,78,0
2015-7-18,高雄市,杉林區,月眉,30.6℃,49,0
2015-7-19,南投縣,仁愛鄉,昆陽,9.1℃,52,0
2015-7-20,臺中市,大安區,大安,17.7℃,80,-99
